Id,SalePrice,Neighborhood,Condition1,Utilities,LandContour,OverallQual,GarageQual,PoolQC,ProximityToITHub,PublicTransportAccessibility,SchoolProximity,HospitalProximity,AirQuality,NoisePollution,RegulatoryCompliance,LandAcquisitionComplexity,GrLivArea,GarageCars,BedroomAbvGr,FullBath,HalfBath,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Dist_to_Metro,Airport_Proximity,NRI_Investment_Ratio,RERA_Status,City,State,Local_Economy,JobMarket,GreenSpaces,Fence,FireplaceQu,ShoppingProximity,RestaurantProximity,Zoning,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,Electrical,Functional,KitchenQual,KitchenAbvGr,PavedDrive,Street,Alley,LotShape,LotConfig,LandSlope,LotSize,BldgType,HouseStyle,OverallCond,SwimmingPool,CinemaHallProximity,PubProximity,HighSchoolProximity,IntermediateSchoolProximity,UGCollegeProximity,PGCollegeProximity
11,10293349,Koramangala,1 km from Metro,24/7,Not Flood-prone,DLF,Medium,Good,No,High,3,2,Fair,High,Non-Compliant,Low,1132,1,3,2,1,117,351,464,1998,4,27,0.250093003837777,Non-Compliant,Mumbai,Karnataka,Weak,Fair,No,Yes,Fair,3,2,Mixed,2019,2008,Clay or Tile,Metal,Metal,None,473,Good,Fair,Crawl Space,Good,Good,GLQ,ALQ,Excellent,Yes,Upgraded,Typical,Excellent,2,No,Paved,Paved,Irregular,Corner,Gentle,5780,Single-family,Ranch,1,Yes,4,2,3,1,2,1
12,8798243,Koramangala,2 km from Metro,24/7,Not Flood-prone,DLF,Medium,Fair,No,High,3,3,Good,Low,Non-Compliant,High,1707,1,2,3,1,438,56,199,661,4,27,0.1365392809727176,Compliant,Delhi,Delhi,Strong,Good,Yes,No,Good,4,2,Mixed,2001,2020,Asphalt Shingles,Wood,Vinyl,Stone,885,Excellent,Excellent,Poured Concrete,Fair,Good,ALQ,GLQ,Fair,No,Upgraded,Functional,Good,1,Yes,Gravel,Gravel,Irregular,Cul-de-sac,Moderate,6512,Single-family,Two-story,1,Yes,3,2,4,2,1,2
13,12257172,Gurgaon,2 km from Metro,Tanker-dependent,Flood-prone,Local Builder,Medium,Excellent,No,High,4,5,Good,High,Non-Compliant,Low,1861,3,5,3,0,506,465,260,465,4,27,0.44722935561714117,Non-Compliant,Mumbai,Maharashtra,Medium,Good,Yes,No,Fair,2,4,Commercial,2003,2005,Clay or Tile,Vinyl,Metal,Brick,13,Good,Excellent,Crawl Space,Excellent,Poor,GLQ,ALQ,Excellent,No,Standard,Typical,Fair,1,No,Gravel,Gravel,Regular,Inside,Moderate,14668,Townhouse,Two-story,6,No,4,4,1,3,1,4
14,7155258,Koramangala,2 km from Metro,24/7,Not Flood-prone,DLF,High,Fair,No,Medium,3,4,Good,Low,Compliant,High,1967,2,2,2,0,344,311,490,405,4,12,0.11935992576690896,Compliant,Bangalore,Maharashtra,Medium,Poor,Yes,No,Good,1,2,Mixed,2008,2023,Clay or Tile,Wood,Metal,Stone,543,Fair,Good,Slab,Excellent,Poor,GLQ,GLQ,Good,Yes,Upgraded,Functional,Fair,2,Yes,Paved,Paved,Irregular,Corner,Severe,5789,Townhouse,Two-story,9,No,3,3,4,2,4,3
15,13472096,Gurgaon,Adjacent to Metro,24/7,Not Flood-prone,Tata,High,Fair,No,Low,4,2,Fair,Medium,Compliant,Medium,2593,3,4,2,0,311,285,283,619,3,20,0.35665134669561915,Compliant,Chennai,Delhi,Weak,Poor,Yes,No,Fair,1,3,Commercial,2003,2021,Slate,Wood,Wood,None,354,Excellent,Good,Crawl Space,Excellent,Average,GLQ,ALQ,Fair,Yes,Upgraded,Functional,Good,2,Yes,Paved,Paved,Irregular,Corner,Moderate,13542,Townhouse,Two-story,8,Yes,3,3,1,2,2,3
16,7043710,Gurgaon,Adjacent to Metro,24/7,Not Flood-prone,Sobha,Low,Excellent,No,Medium,4,2,Good,Medium,Compliant,Medium,2375,3,5,1,1,911,254,213,667,1,21,0.334568151946404,Non-Compliant,Bangalore,Karnataka,Weak,Fair,No,No,Excellent,3,1,Commercial,2000,2020,Slate,Metal,Wood,Stone,637,Fair,Fair,Crawl Space,Fair,Good,ALQ,BLQ,Excellent,No,Upgraded,Functional,Fair,1,Yes,Gravel,Gravel,Irregular,Cul-de-sac,Gentle,5337,Townhouse,Two-story,7,Yes,2,2,3,4,2,2
17,13271595,Bandra,2 km from Metro,24/7,Not Flood-prone,Tata,Low,Good,No,Medium,3,5,Fair,High,Non-Compliant,Low,1498,3,3,1,1,680,145,46,288,2,26,0.39314788461936867,Non-Compliant,Chennai,Maharashtra,Weak,Fair,No,No,Fair,1,4,Mixed,2011,2020,Clay or Tile,Vinyl,Metal,None,63,Good,Good,Poured Concrete,Fair,Average,GLQ,GLQ,Excellent,No,Standard,Functional,Good,2,No,Gravel,Gravel,Irregular,Cul-de-sac,Moderate,5957,Townhouse,Ranch,5,No,2,1,4,2,4,3
18,8062073,Bandra,Adjacent to Metro,Tanker-dependent,Flood-prone,Tata,High,Fair,No,Medium,4,2,Poor,High,Non-Compliant,High,1073,1,2,3,1,514,15,328,1124,1,18,0.3658170800282756,Compliant,Bangalore,Tamil Nadu,Strong,Poor,No,Yes,Excellent,4,2,Residential,2012,2021,Clay or Tile,Metal,Wood,Brick,499,Fair,Good,Poured Concrete,Excellent,Poor,BLQ,ALQ,Excellent,Yes,Standard,Functional,Good,2,No,Gravel,Gravel,Regular,Corner,Moderate,14804,Townhouse,Two-story,5,Yes,4,2,4,1,3,2
19,10283494,Gurgaon,2 km from Metro,Tanker-dependent,Flood-prone,Tata,High,Fair,Yes,Medium,1,2,Good,High,Compliant,Low,2518,1,2,3,0,504,36,239,22,2,24,0.30012314790909445,Non-Compliant,Mumbai,Maharashtra,Weak,Poor,No,No,Good,1,1,Mixed,2017,2006,Clay or Tile,Wood,Vinyl,Brick,811,Good,Good,Poured Concrete,Excellent,Poor,ALQ,ALQ,Fair,No,Standard,Functional,Fair,1,Yes,Gravel,Gravel,Irregular,Corner,Gentle,9260,Single-family,Two-story,8,Yes,4,4,4,3,1,4
20,7536890,Bandra,1 km from Metro,Tanker-dependent,Flood-prone,Sobha,High,Excellent,No,Low,2,4,Fair,High,Compliant,Low,2703,2,4,3,1,582,50,335,1221,2,10,0.36194999835065866,Compliant,Chennai,Delhi,Strong,Poor,Yes,No,Excellent,1,3,Commercial,2006,2004,Asphalt Shingles,Vinyl,Metal,None,427,Good,Fair,Crawl Space,Excellent,Average,ALQ,BLQ,Excellent,No,Upgraded,Functional,Excellent,1,No,Gravel,Paved,Regular,Inside,Severe,12155,Single-family,Two-story,2,No,1,2,4,1,2,3
21,7885304,Anna Nagar,2 km from Metro,24/7,Flood-prone,DLF,Low,Excellent,Yes,Medium,3,3,Good,High,Compliant,High,1880,3,4,3,0,657,187,447,463,4,28,0.22454886018265396,Compliant,Delhi,Maharashtra,Weak,Good,Yes,No,Fair,1,4,Mixed,2018,2010,Slate,Vinyl,Metal,Stone,302,Good,Fair,Crawl Space,Fair,Poor,GLQ,BLQ,Fair,Yes,Upgraded,Functional,Good,1,No,Paved,Paved,Regular,Cul-de-sac,Gentle,5283,Single-family,Ranch,4,No,2,3,4,2,1,3
22,13603011,Bandra,Adjacent to Metro,Tanker-dependent,Not Flood-prone,DLF,Low,Fair,No,High,1,3,Good,Medium,Compliant,High,1953,1,5,2,1,308,447,284,958,3,15,0.4142779854533031,Compliant,Bangalore,Karnataka,Weak,Good,No,Yes,Excellent,3,2,Commercial,2011,2012,Clay or Tile,Wood,Metal,Brick,944,Fair,Excellent,Slab,Fair,Good,ALQ,BLQ,Excellent,No,Standard,Functional,Excellent,2,No,Paved,Gravel,Irregular,Cul-de-sac,Gentle,11697,Townhouse,Two-story,4,Yes,2,1,4,3,1,2
23,11839248,Koramangala,2 km from Metro,Tanker-dependent,Flood-prone,Tata,Low,Good,Yes,High,3,4,Fair,Low,Non-Compliant,Medium,2822,2,3,1,1,991,446,367,292,3,20,0.17713023708358136,Compliant,Chennai,Tamil Nadu,Weak,Fair,No,No,Excellent,4,4,Residential,2003,2003,Slate,Metal,Vinyl,Brick,402,Fair,Excellent,Crawl Space,Good,Poor,BLQ,BLQ,Fair,Yes,Standard,Typical,Fair,2,No,Gravel,Paved,Regular,Inside,Moderate,10576,Townhouse,Two-story,6,No,3,4,1,1,4,2
24,9706382,Anna Nagar,2 km from Metro,Tanker-dependent,Not Flood-prone,Tata,Low,Good,No,High,4,5,Fair,Medium,Compliant,Medium,1983,3,5,3,1,213,195,171,1969,1,22,0.2561460767918855,Compliant,Mumbai,Karnataka,Weak,Fair,No,No,Good,2,3,Mixed,2010,2010,Slate,Metal,Wood,None,928,Good,Good,Poured Concrete,Excellent,Poor,BLQ,GLQ,Excellent,Yes,Upgraded,Typical,Good,2,Yes,Paved,Gravel,Irregular,Cul-de-sac,Gentle,12491,Townhouse,Ranch,2,No,2,3,4,3,3,3
25,10753014,Bandra,Adjacent to Metro,24/7,Not Flood-prone,Tata,Low,Fair,No,High,3,5,Poor,Low,Non-Compliant,High,2606,1,3,1,1,960,446,155,1403,4,21,0.37429167822169684,Non-Compliant,Bangalore,Delhi,Weak,Good,Yes,No,Fair,3,1,Residential,2007,2022,Slate,Metal,Metal,Stone,367,Good,Good,Slab,Fair,Good,ALQ,ALQ,Fair,No,Upgraded,Functional,Excellent,1,Yes,Gravel,Paved,Regular,Cul-de-sac,Moderate,12433,Townhouse,Two-story,7,Yes,2,4,1,3,3,1
26,9488712,Gurgaon,Adjacent to Metro,24/7,Not Flood-prone,Local Builder,High,Excellent,Yes,Low,4,5,Good,Low,Non-Compliant,High,2700,3,2,2,1,357,117,499,765,2,26,0.17014212811472618,Compliant,Bangalore,Karnataka,Medium,Poor,No,Yes,Excellent,3,2,Mixed,2013,2018,Slate,Wood,Metal,None,305,Fair,Fair,Slab,Fair,Good,ALQ,GLQ,Fair,Yes,Upgraded,Typical,Fair,2,No,Gravel,Gravel,Irregular,Inside,Severe,14884,Single-family,Ranch,7,No,1,4,2,4,4,1
27,6955924,Gurgaon,Adjacent to Metro,24/7,Flood-prone,Sobha,High,Fair,Yes,Low,1,3,Fair,Low,Non-Compliant,Medium,2371,3,5,3,0,371,16,150,1414,4,27,0.47527142081877627,Compliant,Bangalore,Karnataka,Medium,Fair,Yes,Yes,Excellent,1,3,Residential,2006,2011,Slate,Vinyl,Wood,None,581,Good,Excellent,Crawl Space,Fair,Average,BLQ,ALQ,Good,No,Standard,Typical,Good,1,Yes,Gravel,Gravel,Irregular,Inside,Moderate,5143,Townhouse,Ranch,2,No,1,3,2,4,3,4
28,14557776,Bandra,1 km from Metro,Tanker-dependent,Not Flood-prone,Tata,High,Good,No,Low,4,2,Fair,Low,Compliant,Medium,2495,1,3,2,0,821,227,406,944,2,23,0.1402415954095771,Compliant,Mumbai,Karnataka,Weak,Poor,No,Yes,Good,2,4,Mixed,2006,2022,Slate,Metal,Vinyl,None,248,Fair,Good,Poured Concrete,Fair,Poor,GLQ,GLQ,Good,Yes,Standard,Functional,Fair,1,No,Gravel,Gravel,Regular,Corner,Moderate,14179,Single-family,Two-story,5,No,2,3,3,3,3,3
29,8629735,Gurgaon,Adjacent to Metro,Tanker-dependent,Flood-prone,Tata,High,Fair,Yes,Low,2,4,Fair,Medium,Compliant,Low,1601,3,4,3,1,73,76,16,99,1,23,0.16301829361618583,Compliant,Bangalore,Delhi,Medium,Good,Yes,No,Fair,1,3,Residential,2013,2022,Asphalt Shingles,Vinyl,Vinyl,Stone,942,Excellent,Excellent,Slab,Fair,Poor,ALQ,GLQ,Fair,Yes,Upgraded,Functional,Fair,1,Yes,Gravel,Gravel,Regular,Cul-de-sac,Moderate,11990,Townhouse,Two-story,8,Yes,3,2,2,4,1,4
30,11761606,Gurgaon,2 km from Metro,24/7,Flood-prone,Tata,Medium,Fair,No,High,1,5,Good,Medium,Non-Compliant,Medium,1243,1,3,1,0,57,457,331,213,4,12,0.3889996365598213,Compliant,Delhi,Maharashtra,Strong,Poor,Yes,Yes,Excellent,1,2,Commercial,2021,2022,Slate,Vinyl,Vinyl,Stone,95,Excellent,Fair,Slab,Good,Good,GLQ,GLQ,Fair,Yes,Standard,Typical,Good,1,No,Gravel,Gravel,Regular,Cul-de-sac,Severe,7235,Townhouse,Ranch,4,No,4,4,4,3,2,4
31,10130862,Bandra,2 km from Metro,Tanker-dependent,Not Flood-prone,Local Builder,Medium,Fair,No,High,2,2,Poor,High,Non-Compliant,Medium,1506,2,4,3,1,370,117,396,19,1,14,0.45013775378681864,Non-Compliant,Chennai,Tamil Nadu,Medium,Fair,No,Yes,Excellent,4,1,Commercial,2014,2023,Asphalt Shingles,Metal,Wood,Brick,371,Good,Good,Crawl Space,Excellent,Poor,BLQ,GLQ,Excellent,Yes,Standard,Typical,Excellent,1,No,Gravel,Paved,Irregular,Inside,Gentle,7813,Townhouse,Two-story,2,Yes,1,1,1,4,1,1
32,12029078,Gurgaon,Adjacent to Metro,Tanker-dependent,Flood-prone,Sobha,High,Fair,Yes,Low,3,4,Poor,Medium,Compliant,Low,1995,1,4,2,1,577,410,294,472,3,14,0.4156593348412606,Compliant,Delhi,Maharashtra,Weak,Poor,No,No,Fair,4,1,Commercial,2010,2017,Slate,Vinyl,Vinyl,Brick,811,Good,Fair,Slab,Good,Poor,BLQ,GLQ,Fair,Yes,Standard,Functional,Fair,1,No,Paved,Paved,Irregular,Inside,Severe,6043,Single-family,Ranch,4,Yes,2,2,4,1,4,1
33,8746049,Gurgaon,2 km from Metro,Tanker-dependent,Not Flood-prone,Local Builder,Low,Good,No,High,1,4,Poor,Low,Non-Compliant,Medium,2666,1,4,1,1,336,172,211,23,3,13,0.13525215509054989,Compliant,Delhi,Tamil Nadu,Weak,Fair,Yes,No,Good,3,4,Commercial,2016,2016,Asphalt Shingles,Metal,Metal,Brick,406,Excellent,Good,Crawl Space,Excellent,Good,ALQ,ALQ,Excellent,No,Upgraded,Functional,Good,2,No,Gravel,Paved,Regular,Corner,Gentle,12768,Single-family,Ranch,9,Yes,4,2,1,4,2,2
34,9166728,Bandra,2 km from Metro,24/7,Not Flood-prone,Tata,Medium,Fair,No,High,2,5,Poor,Medium,Compliant,High,1580,1,2,1,0,958,486,225,566,3,22,0.376077584353116,Compliant,Delhi,Karnataka,Medium,Fair,Yes,No,Good,1,1,Mixed,2010,2012,Asphalt Shingles,Metal,Wood,None,976,Excellent,Fair,Crawl Space,Fair,Good,BLQ,ALQ,Excellent,No,Standard,Typical,Excellent,2,No,Paved,Gravel,Irregular,Cul-de-sac,Moderate,5652,Single-family,Two-story,5,No,4,3,2,1,4,1
35,6900317,Bandra,1 km from Metro,Tanker-dependent,Not Flood-prone,Tata,Medium,Fair,No,High,4,3,Good,Medium,Non-Compliant,High,2819,2,4,3,0,621,197,122,1705,3,20,0.1807663290846631,Non-Compliant,Chennai,Delhi,Strong,Good,No,Yes,Fair,4,4,Mixed,2008,2003,Slate,Wood,Metal,Brick,314,Fair,Fair,Slab,Excellent,Good,BLQ,GLQ,Excellent,Yes,Upgraded,Typical,Fair,1,No,Gravel,Paved,Regular,Cul-de-sac,Severe,11722,Single-family,Two-story,9,Yes,4,4,2,4,1,3
36,8667584,Bandra,1 km from Metro,Tanker-dependent,Not Flood-prone,DLF,Low,Excellent,Yes,Low,4,5,Good,Medium,Compliant,Medium,1322,3,5,2,1,664,334,470,908,1,20,0.14994654786930448,Compliant,Chennai,Tamil Nadu,Weak,Poor,No,Yes,Excellent,2,3,Mixed,2003,2000,Asphalt Shingles,Vinyl,Vinyl,Stone,706,Excellent,Fair,Crawl Space,Fair,Good,ALQ,ALQ,Good,No,Standard,Typical,Excellent,1,No,Gravel,Paved,Regular,Inside,Gentle,7029,Townhouse,Two-story,7,No,1,1,2,4,3,2
37,11285339,Bandra,Adjacent to Metro,24/7,Flood-prone,DLF,High,Fair,No,Medium,2,4,Good,Low,Compliant,High,1795,1,5,3,0,314,82,237,1070,2,15,0.15771486061828077,Compliant,Chennai,Delhi,Weak,Fair,Yes,Yes,Good,3,3,Mixed,2013,2013,Asphalt Shingles,Metal,Wood,Stone,289,Fair,Good,Poured Concrete,Good,Poor,GLQ,BLQ,Fair,Yes,Upgraded,Functional,Good,1,No,Gravel,Paved,Irregular,Inside,Gentle,12903,Townhouse,Two-story,9,Yes,4,2,3,3,1,3
38,6733810,Anna Nagar,2 km from Metro,Tanker-dependent,Flood-prone,DLF,Low,Good,No,Medium,1,3,Poor,Low,Compliant,Low,1227,3,5,3,0,243,408,448,641,2,29,0.20773037146557802,Non-Compliant,Mumbai,Maharashtra,Strong,Poor,Yes,Yes,Fair,2,1,Mixed,2021,2017,Clay or Tile,Wood,Wood,Brick,837,Fair,Good,Poured Concrete,Fair,Good,BLQ,ALQ,Good,No,Upgraded,Functional,Excellent,2,No,Paved,Paved,Irregular,Cul-de-sac,Moderate,10451,Single-family,Ranch,8,Yes,4,3,1,1,4,1
39,11772255,Gurgaon,Adjacent to Metro,Tanker-dependent,Not Flood-prone,Tata,Medium,Excellent,Yes,Low,4,3,Good,High,Non-Compliant,Medium,2499,3,3,3,1,966,53,213,1608,3,17,0.37957115257603047,Compliant,Chennai,Maharashtra,Strong,Fair,No,Yes,Excellent,3,3,Commercial,2021,2021,Asphalt Shingles,Wood,Vinyl,None,581,Excellent,Fair,Poured Concrete,Good,Average,BLQ,ALQ,Fair,No,Standard,Typical,Good,2,Yes,Paved,Paved,Regular,Inside,Severe,7043,Single-family,Ranch,6,Yes,4,1,4,2,3,4
40,10121673,Bandra,2 km from Metro,Tanker-dependent,Flood-prone,DLF,High,Good,No,Medium,1,5,Fair,Medium,Non-Compliant,Medium,2592,3,5,1,0,38,290,227,626,3,22,0.2525563675122544,Non-Compliant,Bangalore,Karnataka,Weak,Poor,Yes,No,Excellent,1,3,Mixed,2014,2009,Asphalt Shingles,Vinyl,Vinyl,Brick,757,Good,Good,Poured Concrete,Excellent,Good,ALQ,ALQ,Fair,No,Upgraded,Typical,Fair,2,No,Paved,Paved,Regular,Inside,Severe,7106,Townhouse,Ranch,2,No,2,1,2,1,4,2
41,7715168,Koramangala,1 km from Metro,Tanker-dependent,Not Flood-prone,Local Builder,Medium,Fair,No,Medium,3,4,Poor,Medium,Compliant,High,1351,2,5,3,1,874,483,164,1819,1,25,0.1266071470572114,Non-Compliant,Mumbai,Delhi,Strong,Poor,Yes,Yes,Excellent,1,3,Commercial,2004,2003,Asphalt Shingles,Metal,Vinyl,Brick,224,Excellent,Good,Poured Concrete,Good,Average,BLQ,GLQ,Excellent,No,Upgraded,Typical,Good,2,Yes,Paved,Gravel,Regular,Inside,Gentle,10614,Single-family,Ranch,2,No,4,3,4,3,3,1
42,9443616,Bandra,2 km from Metro,24/7,Flood-prone,Local Builder,Medium,Good,No,Low,3,2,Fair,Medium,Compliant,Low,2062,3,2,1,1,142,326,311,1863,2,19,0.2928387938340642,Non-Compliant,Chennai,Delhi,Medium,Poor,No,Yes,Excellent,1,3,Commercial,2011,2012,Clay or Tile,Vinyl,Vinyl,None,309,Fair,Fair,Slab,Fair,Average,BLQ,ALQ,Good,Yes,Standard,Typical,Fair,2,Yes,Gravel,Paved,Irregular,Cul-de-sac,Severe,12274,Single-family,Ranch,9,No,3,1,2,4,3,3
43,6313955,Koramangala,1 km from Metro,Tanker-dependent,Not Flood-prone,DLF,Medium,Excellent,Yes,Low,1,3,Poor,Medium,Non-Compliant,Medium,1913,3,2,2,0,178,407,480,69,4,21,0.4524079586839984,Compliant,Delhi,Maharashtra,Weak,Good,Yes,No,Good,4,2,Residential,2002,2020,Asphalt Shingles,Vinyl,Metal,Brick,371,Excellent,Excellent,Slab,Good,Poor,GLQ,GLQ,Excellent,Yes,Upgraded,Typical,Good,2,Yes,Gravel,Paved,Irregular,Inside,Severe,13955,Single-family,Ranch,5,No,1,2,2,2,4,1
44,14081106,Koramangala,1 km from Metro,Tanker-dependent,Flood-prone,Sobha,Low,Fair,No,Medium,1,4,Fair,Medium,Non-Compliant,Low,2807,1,4,2,1,447,331,288,833,1,21,0.1180866421396011,Compliant,Delhi,Tamil Nadu,Strong,Fair,Yes,No,Excellent,1,2,Mixed,2016,2015,Asphalt Shingles,Vinyl,Wood,None,640,Fair,Good,Slab,Excellent,Good,GLQ,BLQ,Good,No,Standard,Typical,Fair,2,No,Paved,Paved,Irregular,Inside,Gentle,5049,Townhouse,Two-story,2,Yes,1,1,3,4,4,4
